,word,color,matched,pressed_key,status,response_time
0,red,red,1,'r',1,0.991
1,yellow,yellow,1,'y',1,1.094
2,green,green,1,'g',1,1.09
3,green,yellow,0,'y',1,0.952
4,blue,red,0,'r',1,0.962
5,blue,yellow,0,'y',1,1.1
6,green,blue,0,'b',1,1.084
7,red,yellow,0,'y',1,1.023
8,blue,red,0,'r',1,1.523
9,green,blue,0,'b',1,1.261
10,blue,green,0,'g',1,1.201
11,green,green,1,'g',1,0.888
12,green,green,1,'g',1,0.803
13,yellow,blue,0,'b',1,1.57
14,blue,red,0,'r',1,0.939
15,blue,green,0,'g',1,1.048
16,blue,red,0,'r',1,1.811
17,blue,blue,1,'b',1,1.498
18,blue,blue,1,'b',1,0.886
19,blue,red,0,'y',2,1.066
20,red,yellow,0,'y',1,1.322
21,red,green,0,'g',1,1.477
22,green,red,0,'r',1,1.319
23,green,green,1,'g',1,1.512
24,yellow,yellow,1,'y',1,1.378
25,green,yellow,0,'y',1,0.997
26,yellow,blue,0,'b',1,1.036
27,blue,green,0,'g',1,1.159
28,green,blue,0,'b',1,1.768
29,yellow,yellow,1,'y',1,1.694
30,green,yellow,0,'y',1,1.11
31,green,blue,0,'b',1,1.261
32,green,green,1,'g',1,0.975
33,blue,green,0,'g',1,1.282
34,red,yellow,0,'y',1,1.503
35,blue,yellow,0,'y',1,0.918
36,blue,yellow,0,'y',1,0.84
37,blue,yellow,0,'y',1,0.918
38,yellow,green,0,'g',1,1.722
39,green,blue,0,'b',1,1.193
